,review
1145,"oh my god, i give this film three stars out of ten for the following reasons. the final sequence is once again quite effectively handled and it was absolutely hilarious. that is what it gets those thr"
1146,"When i first saw this film i thought it was going to be a good sasquatch film. Usually when you have these types of movies there's generally ONE sasquatch, but in this one there is like what? 7 or 10 "
1147,"As other reviewers have noted the film dies in the last 1/2 hour. However before that it suffers from predictability and a stunningly vapid performance by Kate Capshaw, who clearly never found her cha"
1148,"I actually saw this movie at a theater. As soon as I handed the cashier my money, she said two words I had never heard at a theater, before or since: ""No refunds!"" As soon as I heard those words, I sh"
1149,"Whenever I hear a movie being touted because it has no sex, violence, bad language, special effects, and so on, my b.s. detector goes off. Usually, a movie like that is sentimental hogwash which pande"
1150,"**SPOILERS** Highly charge police drama about a serial killer loose in and around the small town of Riverside Wisconsin. Who's being tracked down by the local police using policewoman Gina Pulasky, He"
1151,"This show probably won't appeal to everyone. Sarah does what she wants; she doesn't ask for permission and she doesn't apologize. This is a sitcom with zombies, robot dinosaurs, flying cars, and a tea"
1152,"I always said that the animated Batman movies were much better than the live action films.<br /><br />I've seen all of the animated films, but out of the bunch, this is the poorest, and it's rather di"
1153,"Whatever rating I give BOOM is only because of the superb location photography of Sardinia and Rome. Otherwise, this is only for hardcore addicts of ELIZABETH TAYLOR (her downward phase), and RICHARD "
1154,"A sequel to (actually a remake of) Disney's 1996 live-action remake of 101 Dalmations. Cruella deVil (Glenn Close) is released from prison after being ""cured"" of her obsession with fur by a psychologi"
1155,I don't know how to describe this movie. It's definitely one of the weirdest movies I've seen in a long time. It is very unsettling at times but also boring in other places. The scenes of dental tortu
1156,"As shallow as it may sound, I actually delayed my viewing of ""The Barbarians"" several times just because the VHS cover (as well as the picture image displayed here on the website) looks so incredibly "
1157,"""Dahmer"" is an interesting film although I wouldn't use ""horror"" or ""thriller"" do describe it. It's more a minor character study that seems oddly sympathetic of the killer.<br /><br />Jeremy Renner po"
1158,"I confess to have quite an uneasy feeling about ghosts movies, and while I sometimes enjoy the genre when it comes to horror, but when it comes to comedies, they really need to be crazy to be funny. '"
1159,"I was in the film too, but i don't know if they actually put this scene in. On the way back from a school trip (in 2005) we stopped at a service station at the same time as they were doing the film, a"
1160,"When I was a kid, I remember watching this while visiting a friend of our ""Uncle"" Phil. We're Back! A Dinosaur's Story is a silly cartoon about a dinosaur called Rex (voiced by the wonderful John Good"
1161,I'm surprised how many people give this move less than 7 stars.<br /><br />But they just don't understand the movie.<br /><br />The story is about growing up in a difficult situation.<br /><br />There
1162,"It seems to me, as a recent film school graduate, that in these times of New Zealand film reaching new heights, the general public seems to think every New Zealand film made is great. Sione's Wedding "
1163,Great little thriller. I was expecting some type of silly horror movie but what I got was tight short thriller that waste none of our time. Mostof these movies we have to get into the back characters 
1164,"This film stars, among others, ""SlapChop"" Vince Offer (who also wrote, edited and directed) and Joey Buttafuoco--not exactly names that scream out ""quality"". And with such uplifting skits as ""Supermod"
1165,"Each of the major studios cranked out jazzy one-reelers throughout the thirties and forties (with Universal taking the lead). While most looked as cheap on screen as they were to make, Warner Bros. (w"
1166,"This movie tackles child abduction from the point of view of a Mom (lisa Hartman Black) who acts like a man would in an action thriller. Unlike other movies where the focus is on the Police, here the "
1167,"This is a tepid docu-drama that covers no new ground, reworks all the cliches and is sloppy with facts. For example, Munich is a very flat city. So why is it hilly in the movie? For example, the end o"
1168,"Two thirds of nearly 2,000 IMDb users who have voted on this film have rated it at 8, 9 or 10 and one user reports wearing out six videotapes (Was this a record, or merely a faulty VCR?). Although the"
1169,"The idea of making a film about the Beatles sounds doomed idea, as no production can catch the idea of the actual historic Beatles. Then it is perhaps best not to try to recreate the past, but to prod"
1170,"Hong Kong directors crossing over to Hollywood to make movies is nothing new, with the temporary exodus of the likes of Tsui Hark, John Woo, Ringo Lam in the 90s. From their collective output, only a "
1171,Musically speaking Irving Berlin gave Fred Astaire and Ginger Rogers another pluperfect musical after Top Hat if that was possible. Although in this case like that Jerome Kern confection Roberta that 
1172,"The first ""Home Alone"" was one of the funniest movies of the 90's. The second was just as funny with the same cast and jokes! Now comes ""Home Alone 3"". I was curious how they could continue with the s"
1173,"Saw in on TV late last night. Yeah, I can hear what y'all say about this one. It IS likely to be categorized as one of those stereo- typical TV soap series. In all fairness, the story line does have a"
1174,"Let me start by stating that I usually do like Renny Harlin's directing style, for the most part, and that the cinematographer should be commended for some the shots. Unlike Harlin's ""Elm Street 4"", a"
1175,I've waited to see this movie for a long time and at last I could manage to see it in Istanbul Film Festival. Maybe because I expected too much from this film and that's why i was slightly disappointe
1176,"I watched this movie last night and hoped for the best after watching all the cool trailers.Even the cover of the DVD looked good.As soon as I started watching it I was thinking like others ""oh my God"
1177,"Yes I know ""talkies"" had just been invented for the cinema 2 years earlier when this was produced in 1929 but this film showed that much had to learnt about the art of producing films.It comes over as"
1178,"Definitely a very good idea,screenplay was just OK.Could have been better,The positives are that it doesn't bore you if you're an adventure lover,A new idea about the lost world of Atlantis.Negatives "
1179,"With few exceptions, most of George Bernard Shaw's plays have virtually disappeared from the theater these days. Too arch, too talky appears to be the general verdict. This BBC version of one of Shaw'"
1180,"First of all, I saw this movie when I was 7 years old at a Christian Scholl I attended. Needless to say that I was scared out of mind. Not because it was scary but because the content.Cmon...I was 7. "
1181,"Narratives  whether written, visual or poetic epics  generally try to avoid too may characters; readers and viewers, after all, can be too easily overwhelmed by trying to keep track of who exactly i"
1182,"Rob Estes, Josie Bisset and a crap load of kids that look nothing like either of them.<br /><br />Basically, Rob and Josie have a shotgun wedding on a drunken night during a Vegas vacation. They each "
1183,"Last night I decided to watch the prequel or shall I say the so called prequel to Carlito's Way - ""Carlito's Way: Rise to Power (2005)"" which went straight to DVD...no wonder .....it completely ...and"
1184,"Julian Noble (Pierce Brosnan) is a hit-man. Or a ""facilitator of fatalities"", as he prefers to be called. He is also a drunk, a womaniser, and in the middle of a mid-life crisis. On a job in Mexico Ci"
1185,"Although I am generally a proponent of the well-made film, I do not limit myself to films which escape those boundaries, and more often than not I do enjoy and admire films that successfully ""break th"
1186,"I've seen most of Ryuhei Kitamura's work and I've come to the conclusion that he has a knack for action. Scenes are kinetic and fast often combining elements of martial arts, gun fights and samurai fi"
1187,What could be more schlocky than the idea of private detectives getting involved with the women they're supposed to be spying on? And most of the dialogue as written is perfectly banal.<br /><br />But
1188,When a comedy movie boasts its marvelous soundtrack on the back cover you know your not dealing with a top notch movie. I rented this movie with friends expecting to get some chuckles but overall to g
1189,"Taped this late night movie when I was in grade 11, watched it on fast forward. I sugest you do the same. I though it would be and action film, but went to a cort tv type movie. In the end it fits in "
1190,"'The Curse of Frankenstein' sticks faithfully to Mary Shelley's story for one word of the title, which wouldn't be so bad if the changes were any good at all. The tragedy of the creature destroying Fr"
1191,"Not as bad as you've heard. There are actually some funny parts and Affleck and Applegate have fairly good chemistry. Applegate, in particular, is appealing and likable as Affleck's love interest. Jam"
1192,OK when I saw the previews for this movie I thought it looked really scary and was quite excited to see it as were the group I was with. Now living in America especially during this election I see som
1193,"I saw this movie primarily to see Brooke Burke (as Jill), who I had meet briefly in LA at a modeling trade show, in her first feature film. I was hoping to see more of her, but thought she did very we"
1194,"I always thought people were a little too cynical about these old Andy Hardy films. A couple of them weren't bad. Modern film critics are not ones who usually prefer nice to nasty, so goody-two shoes "
1195,The horse is indeed a fine animal. Picturesque depictions of wild horses and their grace could never have been more majestic in an animation flick.<br /><br />The animation is simply stupendous. The f
1196,I had to write a review of this film after reading another comment saying that this is Sidney Poitier's best movie. Poitier had just returned from over a decade's break in film acting and he is clearl
1197,"To quote the film, ""It's better not to know. Better still to forget. Best of all to be abandoned."" Oh, the irony.<br /><br />A ghost story with all the technical refinements of a Hollywood horror film"
1198,"THE SEVENTH SIGN has a great opening hook as the Israeli defence force come across a terrorist base . This is the type of hook that is a must when writing a script , it grabs the reader / audience and"
1199,"Snow White, which just came out in Locarno, where I had the chance to see it, of course refers to the world famous fairy tale. And it also refers to coke. In the end, real snow of the Swiss Alps plays"
1200,"I agree with the majority of the comments I have seen written. I grew up watching Seseme Street before a lot of the people who have written comments were even born. I was born in 1964, so I was 5-yrs-"
1201,"No doubt intended as a totally campy joke, ""Full Moon High"" portrays 1950s teenager Tony Walker (Adam Arkin) accompanying his father (Ed McMahon) on a trip to Romania. Sure enough, Tony gets bitten, a"
1202,"When robot hordes start attacking major cities, who will stop the madman behind the attacks? Sky Captain!!! Jude Law plays Joe Sullivan, the ace of the skyways, tackling insurmountable odds along with"
1203,"I disagree with much that has been written and said about this supposed ""masterpiece"" of the German New Wave: <br /><br />1) There are major flaws in simple exposition, in the basic communication of c"
1204,"After watching this movie on DVD, I watched the trailer. The voice-over describes the movie as surreal. Well, there's surreal, and there's surreal. <br /><br />There was really only one part of the fi"
1205,"My mother worked with Dennis L. Raider for eleven years, not to mention shared an office with him. When it was announced he was BTK, she was shocked. The whole day was just her telling stories about h"
1206,"Well it's not often that we in the UK have a film made about inner city life from the perspective of the Afro Caribbean community, the last example that I can remember was the underrated Babylon way b"
1207,"Umm.. I was quite surprised that someone actually gave this film high marks.<br /><br />Lets face it... Tori Spelling is not a great actress.. and this movie just proves the extent of her ""talent"". Th"
1208,"The Order starts in Rome where the head of a special order of priests who deal in ghosts & demons named Brother Dominic (Francesco Carnelutti) is found dead, cut to New York City where one of his orde"
1209,"This movie causes more unintentional laughter than anything else I've ever seen. Really, if you are a Tolkien fan, rent it just to laugh at it with your friends. I won't be the millionth person to rip"
1210,"It is true that some fans of Peter Sellers work may be disappointed with this, his last venture. But surely any fan of Sellers will find delight in all of his films, simply because of the man's huge t"
1211,"Near the beginning of ""The Godfather: Part III,"" Michael Corleone's son wants to drop out of law school and become a musician. Michael Corleone does not want this. But his estranged ex-wife, Kay, mana"
1212,I want to state first that I am a Christian (and that I do work in the film and TV industry) so I understand what it is like to work on a feature length film so props to the filmmakers in that regard.
1213,"Bad script, bad direction, over the top performances, overwrought dialogue. What more could you ask for? For laughs, it just doesn't get any better than this. Zadora's over-acting combined with the cl"
1214,"Marjorie, a young woman who works in a museum and lives with two female roommates, Pat and Terry.One night she gets in her car and is attacked by masked man with a knife.His plan is to rape her, but s"
1215,"I enjoyed ""American Movie"", so I rented Chris Smith's first film, which I thought was a documentary too. In the first minute I saw that it wasn't, but I gave it a go.<br /><br />What a dead end film. "
1216,TV movie about an ancient Egyptian curse brought to the US in the 20's during the filming of DeMille's first version of the 10 Commandments and which is reawakened when DeMille's sets are unearthed in
1217,"The book is fantastic, this film is not. There is no reason this film could not have embraced a futuristic technological vision of the book. Hell, total recall was released a few years later and that "
1218,Dominick (Nicky) Luciano wears a 'Hulk' T-shirt and trudges off everyday to perform his duties as a garbage man. He uses his physical power in picking up other's trash and hauling it to the town dump.
1219,I have seen every episode of this spin off. I thought the first season was a decent effort considering the expectations of following such a success that is Grey's Anatomy. Thus i have continued to wat
1220,"Though the title includes the word ""zombies"", this film is not what you'd expect from a movie made today, though for 1936 the concept is played out about as well as would probably be expected. Dean Ja"
1221,I discovered this movie with a retailer selling OOP's. And this one surely is an OOP. One year after The Exorcist she's back in business with this movie but what we all new was that the career of Blai
1222,"Very strange but occasionally elegant exploitation movie with no real story, but benefiting from its stunningly ravishing lead actress and a handful of nice, gruesome make-up effects. Daniella is a be"
1223,"Bridges of madison county is a better made version of this story. I felt the ending of this movie was not handled sensitively as they did in the original English movie. This movie is very indianised, "
1224,"THE RUNNING MAN, along with TOTAL RECALL, is my favorite Schwarzenegger movie. No, this isn't 2001, but it's not meant to be. And the acting and script here isn't even up to par with other Arnie movie"
1225,The cat and mouse are involved in the usual chases when Jerry dives into a bottle of invisible ink and discovers that it makes him vanish. Instead of seizing the opportunity to go spy on a girl mouse 
1226,'Umi wa miteita' ('The Sea is Watching') was Akira Kurasawa's swansong to film: his adaptation of his favored novelist Shugoro Yamamoto's story into a screenplay he intended to film was his final mark
1227,"The plot is real horrific, the atmosphere really depressive, unusual for a low-budget production like that, and at least, for a German production. A little bit of Indian spirituality, mystic thriller "
1228,"As Alan Rudolph's ""Breakfast of Champions"" slides into theaters with little fanfare and much derision it makes me think back to 1996 when Keith Gordon's ""Mother Night"" came out. Now for all the talk o"
1229,Screwball comedy about romantic mismatches in New York City. Peter Bogdanovich is obviously in love with all the women in his picture--he reveres them--yet Audrey Hepburn is (naturally) put a notch ab
1230,"I have to admit that I went into Fever Pitch with low expectations. It's no huge revelation for me to say that Jimmy Fallon's last movie (Taxi) was Catwomanly bad, and the trailers for Fever Pitch wer"
1231,"When the Bourne Identity arrived five years ago I have to confess that I didn't think much of it. At the time I was eleven years old, so perhaps I was too young to really get into the storyline and un"
1232,"I can understand those who dislike this movie cause of a lack of knowledge.<br /><br />First of all, those girls are not Geisha, but brothel tenants, and one that don't know the difference will not un"
1233,"I read Tom Robbins' EVEN COWGIRLS GET THE BLUES as a teenager. I loved every word. It was sexy, funny, and full of glamorous scenery and beautiful writing. But when I saw the movie, I could not believ"
1234,"I wanted to love this movie. How could I not love it? Cary Grant, Jayne Mansfield, Stanley Donen; all icons in their own way. However, the train wreck that was Suzy Parker ruined the entire experience"
1235,"Elvira(Cassandra Peterson) is the host of a cheap horror show. After she finds out that her dead aunt has left her some stuff, elvira goes to England to pick it up, hoping it will be some money. But t"
1236,Joe Don Baker is an alright to good actor in small roles here and there...he was alright in Goldeneye and made a pretty good Bond villan in The Living Daylights and has appeared in various other movie
1237,"Okay, I didn't get the Purgatory thing the first time I watched this episode. It seemed like something significant was going on that I couldn't put my finger on. This time those Costa Mesa fires on TV"
1238,"I love the episode where Jim becomes the Greenman. It is great! When Jim tosses that little person through the window, the look on his face is priceless. Then when he starts to address the Priest in h"
1239,"There are so many words I want to use to describe this movie, but can't really do that can I? This movie is a movie to watch if you just want to sit, laugh, cry and then pee. I'm serious. Don't watch "
1240,This movie proves that good acting comes from good direction and this does not happen in Ask the Dust. Colin Farrell is usually a fine actor but in this he is juvenile. Donald Sutherland comes across 
1241,"This film sold for one-dollar at Wal-Mart on a DVD and so I do not feel like I lost anything for watching this film, except my TIME. Enjoyed the acting of Tom Hanks, (Robbie Wheeling), who was very yo"
1242,"How wonderful. Yet another movie about America by someone who has visited here probably a half dozen times, a day a piece, and believes himself to be an ""expert"" on the country. Sheesh. I should take "
1243,"The original ""Cube"" is a fantastic B-movie rich with paranoia, meaty characterization, and fine over-the-top performances. It's creepy, cryptic, and cool. And it stands perfectly well, on its own, wit"
1244,"Dolph Lundgren stars as a templar who comes to New York when a key that unlocks the anti-Christ is found by an archaeologist, of course the demon is only a couple miles behind Dolph and isn't killed s"
1245,"The master of cheap erotic horror, Rolfe Kanefsky, finally makes a movie that doesn't go straight to the Playboy Channel. ""The Hazing"" borrows heavily from everything that came before it from Nightmar"
1246,"Lucy Alexis Liu and Cillian Murphy are both excellent actors, who can certainly rise to any acting challenge put to them.<br /><br />Unfortunately 'Watching the Detectives (2007)' offers only one to b"
1247,"It's interesting to see what shape Pierce Brosnan's career was in before Bond arrived on the scene. In this ""tense"" thriller, Pierce Brosnan plays the gentle Patrick, who works leading ghetto kids on "
1248,"He's stocky, sweaty, slightly cross-eyed and restless. He stands in front of us and calls himself a pervert. He claims that we  the film viewers  perceive the screen as a toilet bowl, and are all se"
1249,The Invisible Maniac starts as a young Kevin Dornwinkle (Kris Russell) is caught by his strict mother (Marilyn Adams) watching a girl (Tracy Walker) strip through his telescope... Cut to 'Twenty Years
1250,"Jennifer Cassi (Gina Philips from ""Dead and Breakfast"") returns back to the house she grew up in which she recently inherited from her deceased sister, unbeknownst to her grandmother (Fay Dunaway) who"
1251,"This Tim Burton remake of the original ""Planet of the Apes"" from 1968 (and starring Charleton Heston) is a far, far cry from the quality and plot of the original.<br /><br />Certainly special effects "
1252,"How many centuries will pass until the Japanese/Asian horror films abandon the long-haired ghost-woman shtick? Admittedly, they've managed to rip off ""Ringu"" a million times, and often it worked well "
1253,"I am a HUGE Adam Sandler fan, and one day I was looking at the Cast&Crew selection on one of his DVD's and saw 'Going Overboard' and decided to go out and rent it. So I went out with a few buddies of "
1254,"This is one of those movies that they did too much promoting for. If you watch T.V., then you might as well not watch the movie. Almost all the funny scenes are spoiled in the previews, except one whi"
1255,"I, like many die-hard Trekkers (or Trekkies, i don't care!) suffered through seven seasons of ""Star Trek Voyager"", dreaming of a better show when it was over, lamenting the end of ""Deep Space Nine"" in"
1256,"Life's going not to badly for Harry Mitchell, he's an ex-air force major (plus nifty little pension I imagine), who's raking in the cash for a patent he's developed (fusing titanium and steel via expl"
1257,"The films of UPA are surprisingly well rated on IMDb despite the fact that the animation quality is light-years behind that of Looney Toons, Disney and MGM at their prime. Sadly, due to rising costs i"
1258,I don't think anyone sitting down to view this film would be expecting anything remotely appearing like a classic ghost story but you have to ask yourself when it's over if you were ever scared. This 
1259,"I almost never comment on movies, but I saw the 5 glowing reviews of this ""movie"" and decided I had to weigh in with my own review. An instructor of mine received this film in the mail, mixed in with "
1260,"In this movie, the old Amitabh Bachchan falls in love with a much younger woman, again. He meets her in his restaurant. The younger woman, Tabu, flirts with him. He does not know what to do and asks h"
1261,The only other review of this movie as of this date really trashes the stars and the movie itself. I usually like to read the user comments to give me an idea of what to expect from a movie I don't kn
1262,"This movie was recently released on DVD in the US and I finally got the chance to see this hard-to-find gem. It even came with original theatrical previews of other Italian horror classics like ""SPASM"
1263,"The Class is a comedy series that portrays a bunch of 27-year-old former class mates.<br /><br />I like the idea of the show. That's why it saddens me that The Class is not funny, even though it has t"
1264,"Poorly cast, terrible script full of holes, hot blonde gets eaten alive, The evil scientist has a seriously nasty mustache, one man takes on a platoon of trained gunman and comes out victor, terrible "
1265,"This is a very difficult movie, and it's almost impossible to get a handle on what's going on. At first it seems to be a rather pedestrian movie about a guy (Trelkovsky) who needs an apartment and rat"
1266,The reason why I say this is because I wrote the screenplay and knew very little about it being made until I was asked to see the film. I wrote it for some producers who sold it on without telling me.
1267,"Don't let the name of this film deceive you, In reality Jake Speed the character is quite possibly the laziest action hero ever known to film. When Jake Speed is not saving virgin girls from evil madm"
1268,"If you are looking for eye candy, you may enjoy Sky Captain. Sky Captain is just a video game injected with live performers. The visials are nice and interesting to look at during the entire movie. No"
1269,"Celia Johnson is good as the Nurse. Michael Hordern is good as Capulet, though it's his usual neighing and whinnying and not a patch on his King Lear. John O'Conor reads the verse well as Friar Lauren"
1270,I saw this movie by accident yesterday at a cinema. I had some hopes for the movie because I really like Spoorloos (The Vanishing) and the book it's based on. The movie starts out okay as it at first 
1271,"I wouldn't go so far as to not recommend this movie, since the only problems I have with it are due to an overexposure to the plot devices used in the movie - the sort of things common to every kids m"
1272,"This movie will be a hit with those that enjoy sophomoronic, mindless, explicit bragging about sexual exploits and F... in almost every sentence. Like a good plot? Like comedy? Like romance or other h"
1273,Director F.W. Murnau wisely stuck with the silent film medium he knew so well to cover this story of native islander life in the South Seas. The documentary style works very well for the first half of
1274,"I've read a few of the reviews and I'm kinda sad that a lot of the Story seems glossed over. Its easy to do because its not a Book, its a movie and there's only so much that can be done in a movie- US"
1275,TYSON <br /><br />Aspect ratio: 1.33:1<br /><br />Sound format: Stereo<br /><br />Reverent - though scrupulously fair - account of the life and times of champion boxer Mike Tyson. Given his conviction
1276,"As a community theater actor who works hard at it but doesn't take acting too seriously, I'm always amused by those who treat it as Great Art. This movie skewers the ""Actor's Craft"" mercilessly while "
1277,"The film starts out very slowly, with the lifestyle of Wallace Napalm, an attendant at a photo-service drop-off station. His wife has been restricted to her home with an ankle bracelet as the result o"
1278,"Recap: Doctor Markov has developed a new theory how to produce energy, knowledge that might unbalance the world. He keeps his knowledge coded and secret and desperately wants out of the Soviet Union. "
1279,"Most folks might say that if one were to spend a Saturday night watching a movie,you must be really bored. Actually,I had just gotten back home from being out and turned on the TV and there it was,""Pa"
1280,"Brian Yuzna is often frowned upon as a director for his trashy gore-fests, but the truth is that his films actually aren't bad at all. The Re-Animator sequels aren't as great as the original, but are "
1281,"I like Billy Crystal, and I thought it would be fun to watch this film, since I know he admired Alan King and they would be funny together. I thought I had seen all Billy's movies but couldn't remembe"
1282,"American icon Henry Fonda portrays ""Elegant"" John Howard, an aging trucker who has had his beloved big rig ""Eleanor"" repossessed after a lengthy hospital stay has forced him to miss his payments. Deci"
1283,"Some time in the late 19th century, somewhere in the American West, several cowboys in need of money go on a buffalo hunt. The group's leader believes that buffaloes are too numerous for the hunting t"
1284,"Shocking, well-made chiller is an undervalued tale of atrocious murder and evil forces.<br /><br />Small town doctor tries to discover who, or what, is committing a series of violent sexual murders.<b"
1285,The second half of Steven Soderbergh's revolutionary bio on Che Guevara deals with his last campaign to export revolution to Bolivia. In order to maintain his saintly visage of Che Soderbergh convenie
1286,"The significance of French title of this film, ""La Naissance des Pieuvres"" which literally means ""The Birth of the Octopuses"", is rather obscure, so it is perhaps not surprising that it has been marke"
1287,"Richard Dix decided to retire and so Michael Duane took his place playing the role as Ted Nichols who meets up with a young French girl named Alice Dupres Barkley, (Lenore Aubert). This couple only kn"
1288,This movie was astonishing. It is beyond atrocious. I often get together with a group of friends and go to the movie store to find awful movies to watch for their comedic value. My friend suggested th
1289,I cannot stay indifferent to Lars van Trier's films. I consider 'Breaking the Waves' nothing less than a masterpiece. I loved 'Dancer in the Night'. I admired the idea in 'Dogville' but the overall ex
1290,Stanley Kramer directs an action thriller and leaves out two key things: action and thrills. THE DOMINO PRINCIPLE features Gene Hackman as a convict sprung from prison in order to perform some mysteri
1291,"The violent and rebel twenty-five years old sailor Antwone Fisher (Derek Luke) is sent to three sessions for evaluation with the navy psychiatrist Dr. Jerome Davenport (Denzel Washington), after anoth"
1292,This is one of those films that explore the culture clash of Eastern born people in Westernized cultures. <br /><br />Loving on Tokyo Time is a sad film about the inability of opposites to attract due
1293,"First of all, the only reason people keep bitching about this film is because they can't stand a few parts of the true story being ""altered"". Well guess what? Peter Jackson's film wasn't a perfect ren"
1294,"Chillers starts on a cold, dark stormy night as a bus drops off three passenger's outside a bus station, a young boy named Mason (Jesse Emery), a college professor Dr. Howard Conrow (David Wohl) & a w"
1295,"""I just viewed this movie last night and I don't think I will ever think the same about any of the actors involved, because this movie will stick in the back of my mind.""<br /><br />The above statemen"
1296,"Just in time to capitalize on the long-awaited movie version of ""Dreamgirls"" is the DVD release of this semi-forgotten 1976 musical melodrama that also takes the rise of the Supremes as its inspiratio"
1297,"Meek, tiny, almost insignificant. Polanski finds the invisibility of his characters and makes something enormous out of it. In front and behind the camera he creates one of the most uncomfortable mast"
1298,"It's funny, when you stop and think about it: fright film fans tend to a deep and abiding affection toward those who scare the daylights out of them. THE Texas CHAINSAW MASSACRE may give us nightmares"
1299,"I have seen The Perfect Son about three times. I fail to see how this film is a gay film, I am not even gay, but I don't see it as a gay film. It is a film with a gay character, I can't see why every "
1300,"I recently saw the Broadway revival of ""Blithe Spirit"" starring Angela Lansbury, Rupert Everett, Christine Ebersole, and Jayne Atkinson. It's a terrific production, and shows what good actors can do w"
1301,"The word ""1st"" in the title has more ominous meaning for the viewers of this film than for its crime victims. At least they don't have to stick around and watch this interminable film reach its own de"
1302,The Tooth Fairy is about the ghost of an old deformed witch that lures children to her house to get a prize for their loose tooth and then takes their lives. The first few minutes introduce you to the
1303,"Melissa Sagemiller,Wes Bentley,Eliza Dushku and Casey Affleck play young students at Middleton College in the town of Middleton.The four teenagers form two love triangles.One night during an ominous f"
1304,"Florence Chadwick was actually the far more accomplished swimmer, of course. She swam the English Channel both directions. She swam from Catalina Island to the California coast. Marilyn Bell's is a sw"
1305,"Enjoyable in spite of Leslie Howard's performance. Mr. Howard plays Philip as a flat, uninteresting character. One is supposed to feel sorry for this man; however, I find myself cheering Bette Davis' "
1306,"Clint Eastwood has definitely produced better movies than this, but this one does not embarrass him. Dirty Harry catches everyone's attention and unless one wants to watch romance, there is no reason "
1307,"Gabe Ryan (Frankie Thomas) gets out of reform school and goes back to the slums. His sister (Ann Sheridan) does her best to keep him out of trouble, but it just seems to follow him. Aside from his ass"
1308,"Before I begin, I want to briefly say that this movie in and of itself is very well made and well acted by all involved, including Whittaker, who indeed deserves his nomination. It is highly entertain"
1309,"First off, let me say that I am a great believer in Fanpro stuff. I see it as a way to continue a good show long after it has been cancelled. Star Trek Voyages and Star Wars Revelations are examples o"
1310,"There's been a vogue for the past few years for often-as-not ironic zombie-related films, as well as other media incarnations of the flesh- eating resurrected dead. ""Fido"" is a film that's either an a"
1311,"In the opening scenes of this movie a man shot arrows through his hotel room into another man's bathroom and blew out all the lights. This must have been very hep for 1936, but rather way way out and "
1312,"First of all, I don't understand why some people find this movie so anti-american. Sure, there are moments when the U.S. are accused directly, like at the segments of Youssef Chahine, Ken Loach and, t"
1313,"Since its release in 1983, ""A Christmas Story"", the Jean Shepherd-narrated story of his alter-ego, Ralphie, has become a true classic. ""My Summer Story"", however, still has Shepherd as the narrator, b"
1314,"As of this writing John Carpenter's 'Halloween' is nearing it's 30th anniversary. It has since spawned 7 sequels, a remake, a whole mess of imitations and every year around Halloween when they do thos"
1315,"I'm a true fan of the original Cracker series, and own all of them on DVD. Cracker had a tendency to be over-the-top on occasion, but Robbie Coltrane and the other cast members, as well as the writers"
1316,This documentary is at its best when it is simply showing the ayurvedic healers' offices and treatment preparation. There is no denying the grinding poverty in India and desperation of even their weal
1317,"What is really sad, shows like Six Degree's and Brothers & Sisters are the true reality TV, not that garbage that are nothing more than glorified game shows. I think the ground swell of discontent has"
1318,"It's hard to believe that this is a sequel to Henry Fool. Hard to believe that the same director and actors were involved in both movies. While Henry Fool is refreshing, witty, comical, Fay Grim is sl"
1319,"I haven't seen all of Jess Franco's movies, I have seen 5, I think, and there are more than 180 of them. So maybe it's a bit early to say so but ""Necronomicon Geträumte Sünden"" (better known as 'Succu"
1320,"Ever wanted to know just how much Hollywood could get away with before the Hayes Code was officially put into effect? Well, unfortunately ""Convention City"" is lost, so well just have to watch ""Tarzan "
1321,"These days Spielberg's ""The Color Purple"" is mostly remembered for being nominated for eleven Oscars and winning zilch. What's even more alarming is that Spielberg himself wasn't even nominated for Be"
1322,"Im proud to say I've seen all three Fast and Furious films.Sure,the plots are kinda silly,and they might be a little cheesy,but I love them car chases,and all the beautiful cars,and the clandestine mi"
1323,"This was the only time I ever walked out on a movie. Years later, I saw it in the cable listings and thought, ""Maybe I should give it another try."" Suffice to say that I was right the first time. This"
1324,Once again Canadian TV outdoes itself and creates another show that will go unwatched after its premiere episode. <br /><br />Last time I remember sitcoms were supposed to induce a reaction we in the 
1325,"I read the comment of Chris_m_grant from United States.<br /><br />He wrote : "" A Fantastic documentary of 1924. This early 20th century geography of today's Iraq was powerful.""<br /><br />I would lik"
1326,THHE remake was a superior movie remake in every way. Most remakes end up being total garbage but under the very talented direction of Alexandre Aja became one of the best ever made in terms of remake
1327,"When I saw that this movie was being shown on TV, I was really looking forward to it. I grew up in the 1980's and like everyone else who has grown up in that era, have seen every 80's teen and summer "
1328,"Story of a man who has unnatural feelings for a pig. Starts out with a opening scene that is a terrific example of absurd comedy. A formal orchestra audience is turned into an insane, violent mob by t"
1329,"I once lived with a roommate who attempted suicide, and our apartment was in a building where you could get a fifty dollar noise violation for sneezing after midnight - so, needless to say, I can easi"
1330,Over-powered mobile suits that can annihilate entire armies - Check! Weapons that hardly need to be aimed and still annihilate everything - Check! Mobile suits based on angels - Check!<br /><br />OK -
1331,"It SURPRISINGLY had a plot! ;) I've seen movies with less plot (I don't wanna mention Asian movies but...). I thought the camera wasn't bad at all for a cheap movie like this, and also the atmosphere "
1332,"Ned Kelly (Ledger), the infamous Australian outlaw and legend. Sort of like Robin Hood, with a mix of Billy the Kid, Australians love the legend of how he stood up against the English aristocratic opp"
1333,A dying Kung Fu master sends out his last student in order to track down what happened to the previous five students who were members of the banned Poison Clan.He is to see if they are acting for good
